url,product_name,current_price,product_code,category,specifications
https://phongvu.vn/man-hinh-samsung-24-inch-ls24f320gaexxv--s250204734,"Màn hình Samsung LS24F320GAEXXV 24"" (FHD 1920 x 1080/ IPS/ 120Hz/ 5 ms)",2290000,250204734,Monitor,{}
https://phongvu.vn/man-hinh-lcd-lg-23-8-24u411a-b-1920x1080-ips-120hz-5ms-den--s250808757,"Màn hình LG 24U411A-B 23.8"" (FHD 1920 x 1080/ IPS/ 120Hz/ 5 ms)",2290000,250808757,Monitor,{}
https://phongvu.vn/man-hinh-lcd-msi-24-5-pro-mp251l-e2-1920x1080-ips-120hz-4ms-gtg-1ms-mprt-adaptive-sync-den--s250633616,"Màn hình Msi PRO MP251L E2 24.5"" (FHD 1920 x 1080/ IPS/ 120Hz/ 1 ms)",2090000,250633616,Monitor,{}
https://phongvu.vn/man-hinh-acer-ek221q-e3-21-5-inch-1920-x-1080-ips-100hz-1ms-freesync--s231002099,"Màn hình Acer EK221Q E3 (UM.WE1SV.301) 21.5"" (FHD 1920 x 1080/ IPS/ 100Hz/ 1 ms)",1790000,231002099,Monitor,{}
https://phongvu.vn/man-hinh-asus-vy249hgr-23-8-inch-1920-x-1080-ips-120hz-1ms--s241105140,Màn hình Asus VY249HGR 23.8” (FHD/ IPS/120Hz OC/1ms),2290000,241105140,Monitor,{}
https://phongvu.vn/man-hinh-lcd-msi-32-mpg-322urx-qd-oled-3840x2160-qd-oled-240hz-0-03ms-g-sync-compatible-den--s250906240,N/A,0,N/A,Monitor,{}
https://phongvu.vn/man-hinh-lcd-aoc-27-q27g40e-71-2560x1440-fast-ips-180hz-0-5ms-1ms-g-sync-compatible-den--s250808264,N/A,0,N/A,Monitor,{}
https://phongvu.vn/man-hinh-viewsonic-va2715-2k-mhd-27-2560-x-1440-va-75hz-4ms--s220609871,N/A,0,N/A,Monitor,{}
https://phongvu.vn/man-hinh-gigabyte-34-inch-g34wqcp-2k-va-180hz-1ms-mprt-freesync-den--s250302275,N/A,0,N/A,Monitor,{}
https://phongvu.vn/man-hinh-asus-tuf-gaming-vg27aq3a-27-inch-2560x1440-fast-ips-180hz-1ms--s240403812,"Màn hình Asus VG27AQ3A 27"" (QHD (2K) 2560 x 1440/ Fast IPS/ 180Hz/ 1 ms)",4990000,Thương hiệu  Asus  240403812,Monitor,"{""Thông tin chung > Thương hiệu"": ""Asus"", ""Thông tin chung > Bảo hành"": ""36 tháng"", ""Thông tin chung > Tên"": ""VG27AQ3A"", ""Thông tin chung > Màu sắc"": ""Đen"", ""Thông tin chung > Nhu cầu"": ""Gaming"", ""Cấu hình chi tiết > Kích thước"": ""27\"""", ""Cấu hình chi tiết > Tần số quét"": ""180Hz"", ""Cấu hình chi tiết > Thời gian phản hồi"": ""1 ms"", ""Cấu hình chi tiết > Tỉ lệ"": ""16:9"", ""Cấu hình chi tiết > Độ tương phản tĩnh"": ""1,000:1"", ""Cấu hình chi tiết > Độ sáng"": ""250 cd/m2"", ""Cấu hình chi tiết > Góc nhìn"": ""178 (H) / 178 (V)"", ""Cấu hình chi tiết > Độ phủ màu"": ""130% sRGB"", ""Cấu hình chi tiết > Số lượng màu"": ""16.7 triệu màu"", ""Cấu hình chi tiết > Tấm nền"": ""Fast IPS LED"", ""Cấu hình chi tiết > Công nghệ đồng bộ"": ""Adaptive Sync"", ""Cấu hình chi tiết > Độ phân giải"": ""QHD (2K) ( 2560 x 1440 )"", ""Cấu hình chi tiết > Tính năng đặc biệt"": ""- HDR10"", ""Cấu hình chi tiết > Công suất"": ""35W"", ""Cấu hình chi tiết > Kiểu màn hình"": ""Màn hình phẳng"", ""Cấu hình chi tiết > Kết nối"": """", ""Cấu hình chi tiết > Chuẩn gắn ARM"": ""VESA mount 100mm"", ""Cấu hình chi tiết > Phụ kiện đi kèm"": ""DisplayPort cable"", ""Kích thước - Khối lượng > Kích thước (có chân)"": ""61.50 x 45.50 x 21.40 cm"", ""Kích thước - Khối lượng > Kích thước (không chân)"": ""61.50 x 36.70 x 5.40 cm"", ""Kích thước - Khối lượng > Khối lượng (có chân)"": ""4.6 kg"", ""Kích thước - Khối lượng > Khối lượng (không chân)"": ""3.6 kg""}"
